 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
131,5493,255,364.458,0.520,1400715,1400715,1.211,0.826,0.951
132,7747,255,411.328,0.575,1975485,1975485,1.362,0.734,0.959
133,6197,255,372.500,0.561,1580235,1580235,1.389,0.720,0.955
134,4206,255,366.357,0.394,1072530,1072530,1.579,0.633,0.929
135,4088,255,391.127,0.336,1042440,1042440,1.140,0.877,0.919
136,6834,255,364.801,0.645,1742670,1742670,1.256,0.796,0.960
137,5147,255,381.227,0.445,1312485,1312485,1.400,0.714,0.939
138,5143,255,376.985,0.455,1311465,1311465,1.471,0.680,0.918
139,6002,255,395.612,0.482,1530510,1530510,1.354,0.738,0.946
140,6150,255,380.014,0.535,1568250,1568250,1.117,0.895,0.953
141,6700,255,399.470,0.528,1708500,1708500,1.155,0.866,0.954
142,5771,255,367.914,0.536,1471605,1471605,1.170,0.855,0.950
143,6946,255,411.227,0.516,1771230,1771230,1.223,0.817,0.954
144,5710,255,348.215,0.592,1456050,1456050,1.192,0.839,0.958
145,5511,255,386.642,0.463,1405305,1405305,1.382,0.724,0.943
146,5899,255,400.884,0.461,1504245,1504245,1.276,0.784,0.946
147,6172,255,417.612,0.445,1573860,1573860,1.358,0.737,0.945
148,6391,255,525.394,0.291,1629705,1629705,2.000,0.500,0.921
149,5649,255,369.914,0.519,1440495,1440495,1.316,0.760,0.952
150,5016,255,373.813,0.451,1279080,1279080,1.194,0.838,0.944
151,4408,255,315.002,0.558,1124040,1124040,1.296,0.772,0.941
152,5500,255,363.529,0.523,1402500,1402500,1.308,0.764,0.954
153,123,255,47.941,0.673,31365,31365,1.079,0.927,0.863
