 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
622,20,255,30.870,0.264,5100,5100,1.475,0.678,0.606
623,66,255,75.640,0.145,16830,16830,1.557,0.642,0.436
624,59,255,67.983,0.160,15045,15045,1.645,0.608,0.465
625,29,255,55.740,0.117,7395,7395,2.534,0.395,0.395
626,17,255,37.113,0.155,4335,4335,3.251,0.308,0.370
627,238,255,232.919,0.055,60690,60690,2.033,0.492,0.451
628,12,255,20.971,0.343,3060,3060,2.539,0.394,0.585
629,55,255,94.711,0.077,14025,14025,2.282,0.438,0.355
630,49,255,86.368,0.083,12495,12495,2.910,0.344,0.398
631,11,255,24.042,0.239,2805,2805,1.199,0.834,0.489
632,39,255,36.284,0.372,9945,9945,1.415,0.707,0.645
633,18,255,35.355,0.181,4590,4590,2.522,0.397,0.434
634,47,255,55.012,0.195,11985,11985,1.357,0.737,0.528
635,14,255,19.556,0.460,3570,3570,1.111,0.900,0.683
636,13,255,22.385,0.326,3315,3315,1.556,0.643,0.510
637,15,255,34.284,0.160,3825,3825,2.468,0.405,0.429
638,258,255,254.475,0.050,65790,65790,3.203,0.312,0.448
639,68,255,99.539,0.086,17340,17340,1.949,0.513,0.425
640,16,255,20.142,0.496,4080,4080,1.894,0.528,0.640
641,19,255,34.527,0.200,4845,4845,2.059,0.486,0.500
642,194,255,185.907,0.071,49470,49470,2.840,0.352,0.409
643,24,255,42.184,0.169,6120,6120,1.818,0.550,0.444
644,237,255,279.931,0.038,60435,60435,1.417,0.706,0.375
645,93,255,102.853,0.110,23715,23715,1.871,0.535,0.467
646,15,255,30.284,0.206,3825,3825,2.262,0.442,0.423
647,16,255,26.627,0.284,4080,4080,1.973,0.507,0.552
648,16,255,30.627,0.214,4080,4080,2.714,0.368,0.395
649,11,255,24.971,0.222,2805,2805,3.229,0.310,0.449
650,14,255,23.799,0.311,3570,3570,1.679,0.596,0.483
651,30,255,31.456,0.381,7650,7650,1.316,0.760,0.652
652,18,255,17.556,0.734,4590,4590,1.340,0.746,0.766
653,11,255,23.213,0.257,2805,2805,1.910,0.524,0.458
654,45,255,53.255,0.199,11475,11475,2.868,0.349,0.539
655,83,255,93.539,0.119,21165,21165,2.138,0.468,0.478
656,12,255,21.799,0.317,3060,3060,1.145,0.873,0.545
657,14,255,30.870,0.185,3570,3570,1.465,0.683,0.431
658,22,255,41.941,0.157,5610,5610,2.862,0.349,0.484
659,27,255,35.698,0.266,6885,6885,1.812,0.552,0.545
660,18,255,28.627,0.276,4590,4590,1.409,0.710,0.507
661,10,255,19.799,0.321,2550,2550,2.033,0.492,0.526
662,32,255,32.870,0.372,8160,8160,1.061,0.942,0.688
663,104,255,129.823,0.078,26520,26520,1.789,0.559,0.392
664,102,255,91.196,0.154,26010,26010,1.362,0.734,0.596
665,20,255,32.284,0.241,5100,5100,1.448,0.691,0.500
666,196,255,183.664,0.073,49980,49980,1.994,0.502,0.446
667,101,255,92.125,0.150,25755,25755,1.995,0.501,0.529
668,10,255,16.142,0.482,2550,2550,3.347,0.299,0.588
669,17,255,32.870,0.198,4335,4335,1.977,0.506,0.410
670,25,255,49.012,0.131,6375,6375,1.293,0.774,0.400
671,70,255,73.640,0.162,17850,17850,1.526,0.655,0.591
672,13,255,23.799,0.288,3315,3315,2.345,0.426,0.441
673,17,255,24.627,0.352,4335,4335,1.977,0.506,0.586
674,69,255,71.983,0.167,17595,17595,2.304,0.434,0.451
675,94,255,88.468,0.151,23970,23970,2.288,0.437,0.539
676,14,255,23.799,0.311,3570,3570,1.234,0.810,0.538
677,177,255,183.321,0.066,45135,45135,1.975,0.506,0.449
678,49,255,65.497,0.144,12495,12495,1.759,0.569,0.454
679,24,255,30.870,0.316,6120,6120,1.989,0.503,0.593
680,25,255,43.941,0.163,6375,6375,2.053,0.487,0.467
681,41,255,45.598,0.248,10455,10455,1.478,0.676,0.590
682,17,255,28.870,0.256,4335,4335,2.150,0.465,0.523
683,15,255,23.799,0.333,3825,3825,2.361,0.424,0.588
684,352,255,296.274,0.050,89760,89760,1.794,0.557,0.466
