 ,Area,Mean,Perim.,IntDen,RawIntDen
348,34,255,27.799,8670,8670
349,147,255,124.752,37485,37485
350,48,255,49.941,12240,12240
351,17,255,30.284,4335,4335
352,34,255,28.870,8670,8670
353,31,255,46.527,7905,7905
354,26,255,35.698,6630,6630
355,65,255,54.770,16575,16575
356,130,255,132.652,33150,33150
357,15,255,20.728,3825,3825
358,15,255,26.627,3825,3825
359,57,255,62.326,14535,14535
360,19,255,23.556,4845,4845
361,17,255,28.870,4335,4335
362,17,255,22.385,4335,4335
363,61,255,56.426,15555,15555
364,654,255,309.931,166770,166770
365,36,255,32.870,9180,9180
366,16,255,15.314,4080,4080
367,59,255,28.385,15045,15045
368,3183,255,1155.582,811665,811665
369,37,255,34.870,9435,9435
370,15,255,23.799,3825,3825
371,15,255,24.385,3825,3825
372,15,255,26.627,3825,3825
373,22,255,37.941,5610,5610
374,78,255,84.953,19890,19890
375,42,255,44.770,10710,10710
376,75,255,90.125,19125,19125
377,20,255,22.385,5100,5100
378,22,255,33.456,5610,5610
379,19,255,21.556,4845,4845
380,30,255,29.799,7650,7650
381,42,255,48.770,10710,10710
382,19,255,24.627,4845,4845
383,32,255,38.527,8160,8160
384,102,255,79.054,26010,26010
385,37,255,36.042,9435,9435
386,15,255,20.385,3825,3825
387,68791,255,17598.396,17541705,17541705
388,12777,255,3430.721,3258135,3258135
389,19,255,40.527,4845,4845
390,15,255,25.213,3825,3825
391,35,255,27.213,8925,8925
392,21,255,24.627,5355,5355
393,31,255,36.284,7905,7905
394,36,255,41.941,9180,9180
395,26,255,27.456,6630,6630
396,27,255,43.598,6885,6885
397,15,255,20.142,3825,3825
398,21,255,21.799,5355,5355
399,15,255,30.284,3825,3825
400,16,255,25.799,4080,4080
401,20,255,29.213,5100,5100
402,32,255,55.255,8160,8160
403,49,255,55.255,12495,12495
404,36,255,47.598,9180,9180
405,18,255,20.971,4590,4590
406,21,255,26.385,5355,5355
407,17,255,22.385,4335,4335
408,775,255,230.090,197625,197625
409,161,255,109.924,41055,41055
410,218,255,135.380,55590,55590
411,17,255,26.627,4335,4335
412,17,255,21.799,4335,4335
413,21,255,29.213,5355,5355
414,40,255,42.527,10200,10200
415,22,255,42.184,5610,5610
416,25,255,45.355,6375,6375
417,30,255,41.698,7650,7650
418,39,255,42.770,9945,9945
419,229,255,281.831,58395,58395
420,92,255,80.811,23460,23460
421,35,255,35.113,8925,8925
422,44,255,69.740,11220,11220
423,26,255,22.971,6630,6630
424,23,255,25.213,5865,5865
425,264,255,200.392,67320,67320
426,27,255,34.284,6885,6885
427,189,255,116.267,48195,48195
428,35,255,42.184,8925,8925
429,23,255,25.799,5865,5865
430,8984,255,2154.512,2290920,2290920
431,32,255,37.113,8160,8160
432,18,255,33.113,4590,4590
433,19,255,28.627,4845,4845
434,68,255,79.054,17340,17340
435,18,255,21.556,4590,4590
436,15,255,21.556,3825,3825
437,19,255,23.213,4845,4845
438,30,255,39.355,7650,7650
439,76,255,96.024,19380,19380
440,40,255,44.770,10200,10200
441,24,255,35.113,6120,6120
442,66,255,52.426,16830,16830
443,69,255,55.255,17595,17595
444,35,255,47.598,8925,8925
445,32,255,30.042,8160,8160
446,18,255,25.213,4590,4590
447,16,255,21.799,4080,4080
448,28,255,39.113,7140,7140
449,39,255,50.426,9945,9945
450,15,255,13.899,3825,3825
451,57,255,40.527,14535,14535
452,20,255,17.899,5100,5100
453,26,255,39.941,6630,6630
454,19,255,22.142,4845,4845
455,51,255,49.113,13005,13005
456,40,255,39.113,10200,10200
457,21,255,31.456,5355,5355
458,15,255,18.971,3825,3825
459,20,255,28.042,5100,5100
460,18,255,16.728,4590,4590
461,24,255,34.284,6120,6120
462,25,255,29.456,6375,6375
463,22,255,34.870,5610,5610
464,27,255,41.941,6885,6885
465,89,255,66.326,22695,22695
466,15,255,21.799,3825,3825
467,27,255,32.284,6885,6885
468,23,255,32.042,5865,5865
469,30,255,30.627,7650,7650
470,46,255,49.355,11730,11730
471,86,255,63.154,21930,21930
472,2415,255,1016.545,615825,615825
473,934,255,560.448,238170,238170
474,4496,255,917.166,1146480,1146480
475,129,255,73.154,32895,32895
476,24,255,22.385,6120,6120
477,65,255,75.882,16575,16575
478,73,255,55.012,18615,18615
479,20,255,23.213,5100,5100
480,40,255,32.870,10200,10200
481,26,255,28.870,6630,6630
482,28,255,45.012,7140,7140
483,27,255,35.941,6885,6885
484,21,255,27.213,5355,5355
485,20,255,32.284,5100,5100
486,17,255,20.971,4335,4335
487,139,255,102.125,35445,35445
488,4930,255,910.521,1257150,1257150
489,158,255,125.581,40290,40290
490,54,255,65.154,13770,13770
491,21,255,33.698,5355,5355
492,27,255,26.627,6885,6885
493,44,255,53.841,11220,11220
494,15,255,22.971,3825,3825
495,22,255,16.728,5610,5610
496,22,255,26.627,5610,5610
497,19,255,18.728,4845,4845
498,44,255,34.870,11220,11220
499,49,255,50.184,12495,12495
500,17,255,27.213,4335,4335
501,5268,255,2159.926,1343340,1343340
502,22,255,31.799,5610,5610
503,15,255,20.971,3825,3825
504,9777,255,2455.514,2493135,2493135
505,97,255,113.338,24735,24735
506,17459,255,4132.549,4452045,4452045
507,19,255,31.113,4845,4845
508,17,255,19.556,4335,4335
509,35,255,43.941,8925,8925
510,21,255,24.385,5355,5355
511,78,255,59.255,19890,19890
